Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK
Jesús García ,Rep,3-Jan-19,RepChuyGarcia,RepChuyGarcia,RepChuyGarcia,RepChuyGarcia,
Jim Baird ,Rep,3-Jan-19,RepJimBaird,RepJimBaird,RepJimBaird,RepJimBaird,
Jim Banks ,Rep,3-Jan-17,RepJimBanks,RepJimBanks,RepJimBanks,RepJimBanks,
Jim Clyburn ,Rep,3-Jan-93,WhipClyburn,WhipClyburn,WhipClyburn,WhipClyburn,
Jim Cooper ,Rep,3-Jan-03,RepJimCooper,RepJimCooper,RepJimCooper,RepJimCooper,
Jim Costa ,Rep,3-Jan-05,RepJimCosta,RepJimCosta,RepJimCosta,RepJimCosta,
Jim Hagedorn ,Rep,3-Jan-19,RepHagedorn,RepHagedorn,RepHagedorn,RepHagedorn,
Jim Himes ,Rep,3-Jan-09,jahimes,jahimes,jahimes,jahimes,
Jim Jordan ,Rep,3-Jan-07,Jim_Jordan,Jim_Jordan,Jim_Jordan,Jim_Jordan,
Jim McGovern ,Rep,3-Jan-97,RepMcGovern,RepMcGovern,RepMcGovern,RepMcGovern,
Jim Sensenbrenner ,Rep,3-Jan-79,JimPressOffice,JimPressOffice,JimPressOffice,JimPressOffice,
Jimmy Gomez ,Rep,11-Jul-17,RepJimmyGomez,RepJimmyGomez,RepJimmyGomez,RepJimmyGomez,
Jimmy Panetta ,Rep,3-Jan-17,RepJimmyPanetta,RepJimmyPanetta,RepJimmyPanetta,RepJimmyPanetta,
Joaquín Castro ,Rep,3-Jan-13,JoaquinCastrotx,JoaquinCastrotx,JoaquinCastrotx,JoaquinCastrotx,
Jodey Arrington ,Rep,3-Jan-17,RepArrington,RepArrington,RepArrington,RepArrington,
Jody Hice ,Rep,3-Jan-15,congressmanhice,congressmanhice,congressmanhice,congressmanhice,
Joe Courtney ,Rep,3-Jan-07,RepJoeCourtney,RepJoeCourtney,RepJoeCourtney,RepJoeCourtney,
Joe Cunningham ,Rep,3-Jan-19,RepCunningham,RepCunningham,RepCunningham,RepCunningham,
Joe Neguse ,Rep,3-Jan-19,RepJoeNeguse,RepJoeNeguse,RepJoeNeguse,RepJoeNeguse,
Joe Wilson ,Rep,18-Dec-01,RepJoeWilson,RepJoeWilson,RepJoeWilson,RepJoeWilson,
John B. Larson,Rep,3-Jan-99,RepJohnLarson,RepJohnLarson,RepJohnLarson,RepJohnLarson,
John Carter ,Rep,3-Jan-03,JudgeCarter,JudgeCarter,JudgeCarter,JudgeCarter,
John Curtis ,Rep,13-Nov-17,RepJohnCurtis,RepJohnCurtis,RepJohnCurtis,RepJohnCurtis,
John Garamendi ,Rep,3-Nov-09,RepGaramendi,RepGaramendi,RepGaramendi,RepGaramendi,
